sound_id,original_fname,sub_category,audioset_class
NAT_162569,162569,Rain,Rain
NAT_101948,101948,Rain,Rain
NAT_248110,248110,Rain,Rain
NAT_391684,391684,Rain,Rain
NAT_360297,360297,Rain,Rain
NAT_327767,327767,Rain,Rain
NAT_319403,319403,Thunder,Rain
NAT_243780,243780,Thunder,Thunder
NAT_432105,432105,Thunder,Rain
NAT_104600,104600,Stream,Stream
NAT_382902,382902,Stream,Drip
NAT_175141,175141,Stream,Stream
NAT_98781,98781,Stream,Gurgling
NAT_51414,51414,Stream,Gurgling
NAT_76194,76194,Ocean,Ocean
NAT_147182,147182,Ocean,Ocean
NAT_320306,320306,Ocean,Ocean
NAT_252276,252276,Wind,Wind
NAT_151849,151849,Wind,Thunder
NAT_420296,420296,Wind,Wind
NAT_212402,212402,Fire,Fire
